Freq	Power
385.030M	-97.959186
385.090M	-98.522275
385.150M	-98.014173
385.210M	-98.707432
385.270M	-99.219530
385.330M	-98.200593
385.390M	-97.637027
385.450M	-98.084396
385.510M	-98.441269
385.570M	-98.166218
385.631M	-96.938313
385.691M	-95.398542
385.751M	-94.401630
385.811M	-93.675550
385.871M	-93.313787
385.931M	-94.455546
385.991M	-98.154626
386.051M	-100.177583
386.111M	-98.031451
386.171M	-98.158222
386.231M	-98.449648
386.292M	-96.385263
386.352M	-95.109884
386.412M	-95.019789
386.472M	-95.216253
386.532M	-94.799465
386.592M	-94.229121
386.652M	-94.612375
386.712M	-95.815163
386.772M	-97.336080
386.832M	-98.741805
386.893M	-99.029626
386.953M	-98.169693
387.013M	-97.841919
387.073M	-97.870491
387.133M	-96.646101
387.193M	-95.371352
387.253M	-95.444596
387.313M	-96.843747
387.373M	-99.715826
387.433M	-102.620174
387.493M	-100.236847
387.554M	-98.834501
387.614M	-98.170207
387.674M	-97.405703
387.734M	-97.035913
387.794M	-96.096579
387.854M	-95.983084
387.914M	-98.194544
387.974M	-100.262714
388.034M	-98.044203
388.094M	-95.893504
388.155M	-95.420619
388.215M	-96.270041
388.275M	-97.371716
388.335M	-97.022461
388.395M	-96.565576
388.455M	-96.674068
388.515M	-97.054363
388.575M	-97.664963
388.635M	-98.603443
388.695M	-98.713200
388.756M	-98.924136
388.816M	-99.646819
388.876M	-99.216715
388.936M	-99.041505
388.996M	-99.017698
389.056M	-98.710807
389.116M	-98.372602
389.176M	-97.824692
389.236M	-97.595566
389.296M	-96.513110
389.356M	-93.914155
389.417M	-92.479868
389.477M	-93.427391
389.537M	-95.864580
389.597M	-97.150651
389.657M	-99.188016
389.717M	-99.548072
389.777M	-96.329192
389.837M	-96.067630
389.897M	-98.747553
389.957M	-100.572264
390.018M	-99.170111
390.078M	-97.489230
390.138M	-95.448061
390.198M	-94.413041
390.258M	-95.062818
390.318M	-96.072766
390.378M	-96.267961
390.438M	-96.439944
390.498M	-97.056475
390.558M	-97.004523
390.618M	-96.438169
390.679M	-97.170419
390.739M	-99.183776
390.799M	-99.840514
390.859M	-98.188542
390.919M	-95.706880
390.979M	-94.397476
391.039M	-94.777935
391.099M	-96.172031
391.159M	-96.455536
391.219M	-96.028201
391.280M	-96.071150
391.340M	-97.181630
391.400M	-98.724279
391.460M	-99.017282
391.520M	-99.886205
391.580M	-99.121239
391.640M	-97.091818
391.700M	-96.798978
391.760M	-97.332499
391.820M	-96.865332
391.881M	-95.877790
391.941M	-94.891193
392.001M	-94.267416
392.061M	-93.887164
392.121M	-93.859803
392.181M	-94.998025
392.241M	-97.274221
392.301M	-97.642070
392.361M	-98.046702
392.421M	-98.951728
392.481M	-97.327849
392.542M	-96.399262
392.602M	-95.925876
392.662M	-94.840642
392.722M	-94.678634
392.782M	-97.525508
392.842M	-104.873654
392.902M	-100.806892
392.962M	-97.245549
393.022M	-96.793583
393.082M	-98.115028
393.143M	-99.452904
393.203M	-98.263840
393.263M	-96.927070
393.323M	-96.771755
393.383M	-95.828941
393.443M	-95.453687
393.503M	-97.135536
393.563M	-97.687367
393.623M	-95.590341
393.683M	-94.698348
393.743M	-95.909268
393.804M	-97.930158
393.864M	-98.000251
393.924M	-97.626851
393.984M	-98.218540
394.044M	-98.431981
394.104M	-97.378692
394.164M	-95.223089
394.224M	-93.819558
394.284M	-94.204221
394.344M	-96.318853
394.405M	-98.957411
394.465M	-99.702082
394.525M	-98.777633
394.585M	-97.168826
394.645M	-96.550308
394.705M	-96.800862
394.765M	-95.736561
394.825M	-94.718915
394.885M	-94.629752
394.945M	-94.798988
395.006M	-95.403772
395.066M	-96.831390
395.126M	-99.106140
395.186M	-99.422986
395.246M	-96.918896
395.306M	-94.703831
395.366M	-94.024007
395.426M	-95.643613
395.486M	-97.885747
395.546M	-96.099806
395.606M	-94.845990
395.667M	-94.560677
395.727M	-93.875633
395.787M	-93.854425
395.847M	-94.333216
395.907M	-93.395674
395.967M	-92.800207
396.027M	-93.839340
396.087M	-95.274123
396.147M	-95.409466
396.207M	-95.477851
396.268M	-96.438727
396.328M	-97.025944
396.388M	-95.776854
396.448M	-94.273876
396.508M	-94.395809
396.568M	-96.074079
396.628M	-95.974692
396.688M	-94.165778
396.748M	-94.076268
396.808M	-95.172387
396.868M	-95.327961
396.929M	-95.180864
396.989M	-96.342584
397.049M	-98.449808
397.109M	-96.991254
397.169M	-94.916105
397.229M	-95.033300
397.289M	-96.607166
397.349M	-97.482621
397.409M	-97.512611
397.469M	-98.808209
397.530M	-99.043013
397.590M	-96.475215
397.650M	-94.699811
397.710M	-94.685213
397.770M	-95.220584
397.830M	-95.894718
397.890M	-97.789037
397.950M	-99.533777
398.010M	-98.223741
398.070M	-96.083982
398.131M	-95.062174
398.191M	-95.053369
398.251M	-95.275143
398.311M	-95.582612
398.371M	-95.798014
398.431M	-96.196424
398.491M	-97.339052
398.551M	-98.891711
398.611M	-99.180857
398.671M	-97.555748
398.731M	-95.256828
398.792M	-94.788211
398.852M	-96.018485
398.912M	-96.693328
398.972M	-93.970517
399.032M	-91.544081
399.092M	-91.070412
399.152M	-91.991437
399.212M	-93.613068
399.272M	-94.190679
399.332M	-92.800743
399.393M	-91.942267
399.453M	-92.840815
399.513M	-94.581733
399.573M	-96.359729
399.633M	-97.453501
399.693M	-97.069941
399.753M	-96.801425
399.813M	-97.585654
399.873M	-97.957375
399.933M	-96.474494
399.993M	-96.014544
400.054M	-96.546222
400.114M	-96.244823
400.174M	-95.834041
400.234M	-95.449696
400.294M	-94.819975
400.354M	-94.347122
400.414M	-94.422547
400.474M	-95.030067
400.534M	-94.980788
400.594M	-94.451288
400.655M	-94.195171
400.715M	-93.744566
400.775M	-93.954953
400.835M	-96.194173
400.895M	-99.306118
400.955M	-98.841018
401.015M	-97.778774
401.075M	-99.099558
401.135M	-99.689802
401.195M	-97.990594
401.256M	-97.727356
401.316M	-97.307233
