Modelo:TC7337NET
Referencia:37483300
Tipo Estacao:MIDOC
Nome Estacao:L2
Freq	Power
385.030M	-95.015494
385.090M	-96.140383
385.150M	-95.604548
385.210M	-95.376717
385.270M	-94.671046
385.330M	-93.749566
385.390M	-93.430824
385.450M	-93.497557
385.510M	-94.003963
385.570M	-94.786055
385.631M	-94.552334
385.691M	-93.524011
385.751M	-93.209689
385.811M	-93.880074
385.871M	-94.626222
385.931M	-94.392687
385.991M	-93.631463
386.051M	-92.923841
386.111M	-92.261917
386.171M	-92.344671
386.231M	-93.826916
386.292M	-96.048650
386.352M	-96.127390
386.412M	-94.920891
386.472M	-94.448754
386.532M	-94.333852
386.592M	-94.506408
386.652M	-94.572941
386.712M	-94.356178
386.772M	-94.523816
386.832M	-95.506367
386.893M	-96.909786
386.953M	-96.063449
387.013M	-94.287110
387.073M	-93.700565
387.133M	-94.500164
387.193M	-95.895967
387.253M	-96.337024
387.313M	-96.489905
387.373M	-96.321430
387.433M	-95.986495
387.493M	-96.288533
387.554M	-95.338104
387.614M	-93.901210
387.674M	-93.226784
387.734M	-93.502626
387.794M	-94.555595
387.854M	-95.573928
387.914M	-96.431292
387.974M	-97.068068
388.034M	-96.710845
388.094M	-95.297945
388.155M	-94.215946
388.215M	-94.120372
388.275M	-94.829191
388.335M	-96.178238
388.395M	-97.237144
388.455M	-96.245944
388.515M	-95.324927
388.575M	-95.298804
388.635M	-94.690950
388.695M	-93.415392
388.756M	-93.086339
388.816M	-94.345067
388.876M	-95.490135
388.936M	-94.564640
388.996M	-92.890588
389.056M	-92.145071
389.116M	-93.393605
389.176M	-96.079159
389.236M	-97.819036
389.296M	-98.229685
389.356M	-96.624934
389.417M	-95.369687
389.477M	-96.240270
389.537M	-100.526456
389.597M	-101.955318
389.657M	-97.397367
389.717M	-96.282354
389.777M	-96.556371
389.837M	-96.927324
389.897M	-97.564256
389.957M	-96.570121
390.018M	-94.577861
390.078M	-94.005155
390.138M	-94.759197
390.198M	-95.658572
390.258M	-96.157691
390.318M	-96.142594
390.378M	-95.743825
390.438M	-94.815408
390.498M	-94.070104
390.558M	-94.291558
390.618M	-95.405173
390.679M	-96.630123
390.739M	-96.597178
390.799M	-96.093224
390.859M	-96.187107
390.919M	-97.107334
390.979M	-99.566829
391.039M	-101.927213
391.099M	-99.784377
391.159M	-97.622970
391.219M	-97.639689
391.280M	-98.528451
391.340M	-97.913356
391.400M	-96.385369
391.460M	-94.875696
391.520M	-94.197946
391.580M	-94.524890
391.640M	-95.066584
391.700M	-95.529209
391.760M	-95.781341
391.820M	-95.239507
391.881M	-94.297759
391.941M	-93.996769
392.001M	-95.409833
392.061M	-97.228457
392.121M	-95.683846
392.181M	-93.676912
