"","Product","Price"
"2","Kitnet!!!!","R$45.000"
"3","Vende-se casa com 4 kitnets Av. Curaçao","R$170.000"
"4","Vende - se De 110 Mil Por 90 Mil","R$90.000"
"5","® Residencial Alphaville 4 Manaus 360m² Ponta NEgra","R$150.000"
"6","© Condomínio Paradise River","R$280.000"
"7","02 Quartos um Suíte, Área de serviço espaçosa","R$75.000"
"8","Casa Nova Pronta Pra Morar! 02 Quartos!","R$75.000"
"9","Sitio no Km 24 com 6500m² de terreno, com casa e piscina","R$180.000"
"10","Cd Boa Vista, 2 Quatos S/ uma Suíte, Ponta Negra","R$230.000"
"11","Excelente casa com 2 dormitórios no bairro Lírio do Vale 2, Conjunto Augusto Motenegro","R$460.000"
"12","Vendo este terreno","R$4.000"
"13","Casa","R$350.000"
"14","Apartamento","R$37.000"
"15","Vendo apartamento no Viver Melhor 2ª Etapa","R$15.000"
"16","Vende se . terreno no conjunto águas claras","R$55.000"
"17","Paradise residencial river","R$289.000"
"18","Conquista Torquato Tapajós","R$162.000"
"19","Ponta Negra cd turim venda apto 2q transformado em loft","R$210.000"
"20","Cond. Aristogrático- Vendo Casa","R$1.290.000"
"21","Casa Desocupada documentos ok","R$80.000"
"22","Cidade Nova/2 quartos 1suíte/Prox ao Shopping Sumauma","R$100.000"
"23","Jardim Itapuã/ agende já sua visita / oportunidade única!","R$270.000"
"24","Vendo Apartamento","R$8.000"
"25","Belíssimo Apto Mobiliado no Solar dos Franceses / 82m² 3 Qtos, Fino acabamento","R$360.000"
"26","Vende-se este terreno","R$16.500"
"27","Miami venda","R$350.000"
"28","Terreno no açutuba 15mil 10x40","R$15.000"
"29","Vivenda das Marinas Residence Club, Lotes de 250m², Acesso à Praia e Rio Negro","R$145.000"
"30","P. R O M O Ç Â O, Reserva Inglesa Liverpool, 2 e 3 Dormitórios com suíte","R$356.000"
"31","Sitio 4800 metros","R$300.000"
"32","Vende - se uma casa em Manaus","R$180.000"
"33","Vendo apartamento no Viver Melhor 2ª Etapa","R$15.000"
"34","Casa","R$170.000"
"35","Pizzaria de alto padrão",NA
"36","Apartamento com 2 dormitorios com suite condominio turim","R$230.000"
"37","Vendo terreno","R$10.000"
"38","Residence The Club, 100% Gerador, 3 Suítes. Pronto p/ Financiar","R$930.000"
"39","Vendo 44 mil",NA
"40","Vendo Apartamento no Conjunto Aypurá ? Compensa","R$160.000"
"41","Cond. Plaza Del Rey - Parque das Laranjeiras","R$220.000"
"42","Lê Boulevard - Dom Pedro, Andar alto vista ao Rio","R$712.000"
"43","2 quartos sendo uma suíte no Le Boulevard, 71m², Mod. e Split, Bairro Dom Pedro","R$2.300"
"44","Passeio das Águas, lote Iranduba 300m2, muito bem localizado e já pode construir","R$85.000"
"45","Chácaras 284,00 a parcela","R$32.000"
"46","Vende-se uma casa no Iramduba","R$150.000"
"47","Vendo casa no distrito Industrial $190 MIL.(Jardim Mauá) prox as fabricas","R$190.000"
"48","Terreno/lote","R$95.000"
"49","Financia Banco ou direto/ Residencial Topázio 13o Andar/ 3 quartos 104m2 e 2 Vgs/Parque 10","R$600.000"
"50","Apartamento no Piemont Bairro São Francisco","R$200.000"
"51","Ideal Torquato","R$185.000"
"52","Vendo Apartamento no Guaianás ? Alvorada 1","R$170.000"
"53","Chegou a oportunidade que você esperava! Casas há 100m av das Torres","R$220.000"
"54","Casa no Baiirro do Novo Aleixo . Perto de Tudo","R$130.000"
"55","Cobertura à venda, Weekend Club, 152 m² - Ponta Negra - Manaus/AM (Ref.10)","R$550.000"
"56","Vende-se um apartamento","R$25.000"
"57","Residencial Thiago de Melo , 70, 92 e 110m2 Venda e Locação(Ref.08)",NA
"58","Ilha Bella, Semi Mobiliado,153m2, Ponta Negra, Manaus (Ref.06)","R$900.000"
"59","Pra vender agora","R$35.000"
"60","Casa no Terra Nova (Manoa), 2 quartos, piscina, churasqueira, cerca elétrica","R$149.999"
"61","Casa no Nova Cidade - Cidade nova rua do DB","R$95.000"
"62","Aluguel- Condomínio Acquarelle - 92m²- 100% Mobiliado","R$3.000"
"63","Apartamento por tras da Força construtiva Nova CIdade","R$37.000"
"64","Casa no Coroado 2 Av. Beira Mar","R$55.000"
"65","Venda de apartamento","R$90.000"
"66","Vendo terreno na cidade de Deus","R$120.000"
"67","Vendo sítio Rio preto da Eva","R$30.000"
"68","Terreno na comunidade dos buritis","R$5.000"
"69","Ed Maximino Corrêa / 3 Dormitórios / Centro","R$240.000"
"70","Solar dos Franceses, 81,92m2, Semi mobiliado, Dom Pedro (Ref.02)","R$350.000"
"71","Apartamento no Ilhas Gregas c/ 2 Quartos à venda, 67 m² - Ponta Negra - Manaus/AM (R.1)","R$310.000"
"72"," Piazza Di fiori/ 3 quartos sendo 1 suite/ agende sua visita","R$295.000"
"73","Prédio comercial de 2 pisos no Japiim em frente ao Makro","R$200.000"
"74","Casa Duplex na Ponta Negra / 4 Suítes, 5 Vagas, Semi Mobiliada - Edícula e Piscina","R$1.650.000"
"75","Residencial Ponta Negra 2 / 380m², 4 Suítes com Closet / 4 Salas, Analisamos Proposta","R$900.000"
"76","Negocio kza J.Petrópolis prox a UFAM","R$100.000"
"77","Sitio",NA
"78","Residencial Mundi / 128m² 4 Qtos, 3 Vagas - 11o andar, Oportunidade","R$564.000"
"79","Pátio para carreta no Distrito Industrial 2","R$1.300.000"
"80","Casa com piscina excelente localização","R$140.000"
"81","São José 2 próximo - próx ao novo Aleixo, Shopping e comércio","R$300.000"
"82","A- Piscina / Aguas Claras / 2 qts 1 suíte","R$140.000"
"83","Residencial Concept / 162m² 4 Suítes, 4 Vagas - Apto em Promoção - Aproveite","R$965.000"
"84","Terreno no iranduba","R$40.000"
"85","A- Águas Claras / Piscina / 2quartos","R$140.000"
"86","Ilha Bella, 149m², 15º Andar, Varanda com Churrasqueira, Visão Espetacular Ponta Negra","R$1.212.000"
"87","Splendore, 3 e 4 Quartos, Promoção Incrível, Agende sua Visita, Bairro Dom Pedro, Novo","R$450.000"
"88","Vivendas do Rio Negro Praças, 76m², 8º Andar, Nascente, Ventilado, Modulados, 2 Vagas","R$345.000"
"89","2 quartos 120 mil Jardim Paradiso Antúrio bairro Campos Sales, Manaus-AM","R$120.000"
"90","Casa Totalmente Nova . Próximo Avenida das Torres . Casa com Piscina","R$140.000"
"91","Residencial River Side - 66m² 1 Suíte + 1 Qtos - Fino acabamento, Belíssima Área de Lazer","R$273.000"
"92","A- Piscina - Águas Claras - 2qts","R$140.000"
"93","Residencial London 134m² 3 Suítes, Varanda com Churrasqueira - Promoção","R$669.000"
"94","A- Piscina / 2qts / agende uma visita","R$140.000"
"95","Condomínio Reserva do Parque - Lotes à partir de 360m² - Área de Lazer Completa","R$120.000"
"96","Paradise River - Apartamento de 84m² -3 quartos (1 suíte) - 1 vaga","R$285.000"
"97","Imperdível! Total Ville Paraíso","R$130.000"
"98","Alpha Garden","R$850.000"
"99","Casa no Nova Cidade, 3 quartos, sendo uma suíte com closet, armário e ar, financio","R$219.999"
"100","Imóvel","R$45.000"
"101","Eliza Miranda GALINHA MORTA","R$146.000"
"102","S - Casa com Piscina - 2qts - agende uma visita","R$140.000"
