"","Id","Product","Price"
"1","2004541","Intense Base Líquida Mate Superfix 25ml","R$ 37,905x R$ 7,58"
"2","2004773","Intense Lápis Batom Instalip Mate","R$ 17,903x R$ 5,97"
"3","2004360","Intense Batom Cremoso","R$ 19,903x R$ 6,63"
"4","2004361","Intense                    Batom Mate","R$ 23,904x R$ 5,98"
"5","2004244","Make B. Batom Líquido Mate","R$ 47,90R$ 37,905x R$ 7,58"
"6","2004194","Make B.                    Batom Stick","R$ 49,90R$ 29,905x R$ 5,98"
"7","2003423","Intense Máscara para Cílios Volume à                    Prova d' Água","R$ 39,905x R$ 7,98"
"8","2003412","Intense Batom Longa Duração","R$ 23,904x R$ 5,98"
"9","2003406","Intense Batom                    Mate","R$ 23,904x R$ 5,98"
"10","2003400","Intense Batom Hidratante Cremoso","R$ 19,903x R$ 6,63"
"11","2003387","Intense Máscara para Cílios 3 em 1                    Alonga, Define e Curva","R$ 39,905x R$ 7,98"
"12","2003216","Intense Blush Compacto, 3g","R$ 29,905x R$ 5,98"
"13","2003215","Intense Pó Compacto, 5g","R$ 39,905x R$ 7,98"
"14","2005555","Intense Lápis para Olhos Preto","R$ 24,904x R$ 6,23"
"15","2005468","Make B. Pó Compacto Facial Iluminador Rose,                    5,4g","R$ 75,905x R$ 15,18"
"16","2005379","Make B. Hit Paleta Blush Pink, 8g","R$ 79,905x R$ 15,98"
"17","2005318","Intense Máscara Cílios Superfix Bye Bye                    Panda, 10g","R$ 44,905x R$ 8,98"
"18","2005283","Cuide-se Bem Deleite Hidratante Labial 6,2g            ","R$ 28,905x R$ 5,78"
"19","2005278","Make B Batom Mate Ombré","R$ 46,90R$ 36,905x R$ 7,38"
"20","2005221","Estojo de Pincéis Intense","R$ 39,905x R$ 7,98"
"21","2005096","Make B. Pallete de Maquiagem Perfect 12                    Rosé, 8g","R$ 139,90R$ 111,905x R$ 22,38
            "
"22","2004998","Make B. Máscara Cílios Postiços 12g","R$ 69,90R$ 55,905x R$ 11,18
            "
"23","2004997","Make B. Máscara Explosion Effect","R$ 76,905x R$ 15,38"
"24","2004995","Make B. Máscara Cílios Postiços Ultra                    Black HD 11ml","R$ 76,90R$ 61,505x R$ 12,30
            "
"25","2004892","Intense Iluminador Olhos e Rosto Glamm, 6 G            ","R$ 35,905x R$ 7,18"
"26","2004887","Intense Batom Liquido Efeito Bocão 5,6ml","R$ 27,905x R$ 5,58"
"27","2004523","Make B. Base em Pó Mineral","R$ 95,905x R$ 19,18"
"28","2004363","Intense Batom Acetinado","R$ 23,904x R$ 5,98"
"29","2004330","Make B. Demaquilante Bifásico 110ml","R$ 55,905x R$ 11,18"
"30","2004311","Make B. Batom Nude Cremoso","R$ 39,90R$ 31,905x R$ 6,38"
"31","2004289","Make B. Blush            ","R$ 79,905x R$ 15,98"
"32","2004286","Make B. Base Líquida Mate Effect","R$ 69,905x R$ 13,98"
"33","2004254","Make B. Batom Líquido Matte Metálico","R$ 49,90R$ 39,905x R$ 7,98"
"34","2004236","Make B. Lápis Retrátil para Olhos Preto","R$ 47,905x R$ 9,58"
"35","2004235","Make B. Delineador Líquido Para Olhos Preto            ","R$ 57,905x R$ 11,58"
"36","2004230","Make B. Batom Metálico","R$ 46,90R$ 27,905x R$ 5,58"
"37","2004228","Make                    B. Batom Cremoso","R$ 39,90R$ 31,905x R$ 6,38"
"38","2004202","Make B. Lápis para Olhos Gel Ultrablack","R$ 49,905x R$ 9,98"
"39","2004201","Make B Primer Facial Pré Maquiagem","R$ 69,905x R$ 13,98"
"40","2003903","Intense Balm Labial Hidratante, 3,4g","R$ 19,903x R$ 6,63"
"41","2003415","Intense Brilho Labial","R$ 27,905x R$ 5,58"
"42","2003227","Intense Pó Compacto Translúcido Antibrilho,                    5g","R$ 39,905x R$ 7,98"
"43","2003217","Intense                    Corretivo, 8g","R$ 29,905x R$ 5,98"
"44","2002685","Gloss Make B. Brilho Labial Coral Shine","R$ 44,90R$ 26,905x R$ 5,38"
"45","2002336","Make B. Pó Compacto Color Adapt","R$ 84,90R$ 50,905x R$ 10,18
            "
"46","2002329","Make B. Corretivo Líquido Color Adapt","R$ 49,905x R$ 9,98"
"47","2002299","Make B. CC Powder 8 em 1, 4g","R$ 85,90R$ 50,905x R$ 10,18
            "
"48","2005469","Make B. Pó Compacto Facial Iluminador                    Bronze, 5,4g","R$ 75,905x R$ 15,18"
"49","2005458","Cuide-Se Bem Hidratante Labial Sol e                    Água Fresca, 6,2g","R$ 28,905x R$ 5,78"
"50","2005398","Make B.                    Pincel Leque","R$ 29,905x R$ 5,98"
"51","2005382","Make B. Caneta                    Delineadora para Olhos Ponta Chanfrada Preta, 1,0ml","R$ 55,905x R$ 11,18"
"52","2005372","Make B. Pó Compacto Facial Iluminador Gold,                    5,4g","R$ 75,905x R$ 15,18"
"53","2005371","Make B. Duo Contorno Facial em Bastão","R$ 84,905x R$ 16,98"
"54","2005351","Make B. Base Líquida Air Power","R$ 89,905x R$ 17,98"
"55","2005350","Make B. Base Líquida Mate Effect","R$ 69,905x R$ 13,98"
"56","2005231","Make B. Estojo de Pincéis para Pele","R$ 79,905x R$ 15,98"
"57","2005117","Intense Batom Líquido Superfix","R$ 36,905x R$ 7,38"
"58","2005090","Estojo Pincéis para Olhos com 4                    unidades + Nécessaire","R$ 69,905x R$ 13,98"
"59","2004999","Make B. Máscara Superalongamento 10ml","R$ 59,90R$ 47,905x R$ 9,58"
"60","2004996","Make B. Máscara Volume Extremo 10ml","R$ 59,90R$ 47,905x R$ 9,58"
"61","2004890","Intense Super Glitter","R$ 37,905x R$ 7,58"
"62","2004624","Make B. Batom Líquido Diamond Platinum","R$ 49,90R$ 39,905x R$ 7,98"
"63","2004531","Refil Make B. Base Líquida Beauty Cushion","R$ 95,905x R$ 19,18"
"64","2004525","Make B. Base Líquida Beauty Cushion","R$ 149,905x R$ 29,98"
"65","2004502","Make B. Gloss Labial, 5ml","R$ 47,90R$ 37,905x R$ 7,58"
"66","2004364","Make B. Sombra Trio Infinity Glam","R$ 69,905x R$ 13,98"
"67","2004362","Intense Batom Líquido Mate","R$ 27,905x R$ 5,58"
"68","2004310","Make B. Batom Nude Mate","R$ 46,90R$ 36,905x R$ 7,38"
"69","2004298","Make B. Trio para Sobrancelhas","R$ 65,905x R$ 13,18"
"70","2004291","Refil Make B. Pó Compacto Matte","R$ 64,905x R$ 12,98"
"71","2004233","Make B. Solução para Sobrancelhas 6,8g","R$ 59,905x R$ 11,98"
"72","2004229","Make B.                    Batom Mate","R$ 46,90R$ 36,905x R$ 7,38"
"73","2004195","Make B. Pó Compacto Mate","R$ 85,905x R$ 17,18"
"74","2003787","Make B. Batom Perfeito Metal Glow Cosmic                    Grey, 3,6g","R$ 46,90R$ 27,905x R$ 5,58"
"75","2003729","Make B. Pincel Duo de Olhos","R$ 23,904x R$ 5,98"
"76","2003724","Make B. Pincel para Base Líquida","R$ 54,905x R$ 10,98"
"77","2003419","Intense Delineador Líquido Preto","R$ 35,905x R$ 7,18"
"78","2003380","Intense                    Batom Mate","R$ 23,904x R$ 5,98"
"79","2003333","Intense Máscara para Cílios Volume Mega                    Power","R$ 39,905x R$ 7,98"
"80","2003218","Intense Batom Líquido Mate","R$ 29,905x R$ 5,98"
"81","2000582","Apontador","R$ 19,903x R$ 6,63"
"82","2000577","Pincel para Delinear Sombra e Boca","R$ 21,90R$ 12,902x R$ 6,45"
"83","2000574","Pincel para esfumar Sombra","R$ 23,90R$ 13,902x R$ 6,95"
"84","2000572","Pincel Blush","R$ 44,90R$ 26,905x R$ 5,38"
"85","117","Make B. Solução para Sobrancelhas","R$ 59,90R$ 35,905x R$ 7,18"
"86","2005467","Make B. Hit Paleta Blush Peach, 8g","R$ 79,90R$ 63,905x R$ 12,78
            "
"87","2005399","Make B. Pincel Contorno Angular","R$ 54,905x R$ 10,98"
"88","2005381","Make B. Caneta Delineadora                    para Olhos Ponta Fina Preta, 1,2ml","R$ 55,905x R$ 11,18"
"89","2005380","Make B. Hit Paleta Blush Cherry, 8g","R$ 79,905x R$ 15,98"
"90","2005377","Make B. Rosto Spray Fixador Maquiagem,                    75ml/40g","R$ 59,905x R$ 11,98"
"91","2005369","Combo                    Cuide-se Bem Deleite: Hidratante Labial + Creme Desodorante Mãos + Capinha","R$ 66,70R$ 42,695x R$ 8,54"
"92","2005182","Kit                    Presente Glamour","R$ 252,60R$ 202,085x R$ 40,42
            "
"93","2005091","Make B. Pincel para marcar Côncavo","R$ 23,904x R$ 5,98"
"94","2005089","Estojo Make B. Pincéis + 4 Pincéis Make B.            ","R$ 149,905x R$ 29,98"
"95","2004987","Make B. Batom Cremoso Revolution","R$ 39,90R$ 31,905x R$ 6,38"
"96","2004889","Intense Delineador Super Glitter para                    Olhos Prata","R$ 29,905x R$ 5,98"
"97","2004632","Intense Lápis Sombra para Olhos","R$ 27,905x R$ 5,58"
"98","2004629","Intense Batom Matte","R$ 23,904x R$ 5,98"
"99","2004622","Make B. Batom Líquido Diamond Luxury","R$ 49,90R$ 39,905x R$ 7,98"
"100","2004618","Make B. Sombra Foil Multiefeito Diamond                    Fancy 4g","R$ 55,905x R$ 11,18"
"101","2004617","Make B. Paleta de Contorno Facial","R$ 89,905x R$ 17,98"
"102","2004392","Cuide-se Bem Hidratante Labial Caramelito                    6,2g","R$ 28,905x R$ 5,78"
"103","2004297","Make B. Pincel Escova Base","R$ 49,905x R$ 9,98"
"104","2004288","Make B. Sombra Trio UltiMate","R$ 69,905x R$ 13,98"
"105","2004259","Make B. Palette Maquiagem Perfect 12                    Neutrals","R$ 139,90R$ 111,905x R$ 22,38
            "
"106","2004234","Make B. Delineador Líquido Roller Preto","R$ 59,905x R$ 11,98"
"107","2004231","Make B. Corretivo Facial Flash Iluminador","R$ 75,905x R$ 15,18"
"108","2004204","Make B Batom Cremoso Sweet Rose","R$ 39,90R$ 31,905x R$ 6,38"
"109","2004203","Make B Lápis para Esfumar Olhos Preto","R$ 49,905x R$ 9,98"
"110","2004199","Make B. Batom Líquido Matte","R$ 47,90R$ 37,905x R$ 7,58"
"111","2004196","Make B. Pigmento para Olhos","R$ 59,905x R$ 11,98"
"112","2004159","Intense Delineador para Olhos em Gel Preto                    1,6g","R$ 49,905x R$ 9,98"
"113","2003831","Intense Batom Efeito Mate 360 Graus","R$ 23,904x R$ 5,98"
"114","2003813","Intense Lápis para Olhos Marrom","R$ 24,904x R$ 6,23"
"115","2003781","Make B. Trio de Contorno Facial","R$ 89,905x R$ 17,98"
"116","2003773","Make B. Pó Facial Bronzer Golden Flower","R$ 79,905x R$ 15,98"
"117","2003727","Make B. Pincel para Esfumar Sombra","R$ 23,904x R$ 5,98"
"118","2003726","Make B. Pincel para Aplicar Sombra","R$ 23,904x R$ 5,98"
"119","2003725","Make B. Pincel para Blush","R$ 44,905x R$ 8,98"
"120","2003723","Make                    B. Pincel para Pó","R$ 54,905x R$ 10,98"
"121","2003722","Make B. Pincel para Contorno Facial","R$ 45,905x R$ 9,18"
"122","2003721","Make B. Pincel para Corretivo Fibras Duplas            ","R$ 34,905x R$ 6,98"
"123","2003377","Intense Base Líquida Mate, 25ml","R$ 37,90R$ 22,704x R$ 5,68"
"124","2002326","Make B. Base Líquida Color Adapt, 30ml","R$ 69,90R$ 41,905x R$ 8,38"
"125","2000579","Pincel                    Retrátil Boca","R$ 28,90R$ 16,903x R$ 5,63"
"126","2000578","Pincel com esponja para Sombra","R$ 21,90R$ 12,902x R$ 6,45"
"127","2000570","Pincel Pó                    Facial","R$ 54,90R$ 32,905x R$ 6,58"
"128","2005383","Make B. Caneta Delineadora para Olhos                    Branca, 1,2ml","R$ 55,905x R$ 11,18"
"129","2005352","Make B. Corretivo Facial Flash Iluminador","R$ 75,905x R$ 15,18"
"130","2005230","Make B. Pincel Espiral para Pele","R$ 45,905x R$ 9,18"
"131","2005097","Make B. Palette de Maquiagem Perfect 12                    Neutrals, 8g","R$ 139,90R$ 111,905x R$ 22,38
            "
"132","2004953","Combo Intense: Batom Glossy Nude +                    Batom Mate 50 Looks","R$ 49,805x R$ 9,96"
"133","2004630","Intense Batom Cremoso","R$ 19,903x R$ 6,63"
"134","2004623","Make B. Batom Líquido Diamond Fantasy","R$ 49,90R$ 39,905x R$ 7,98"
"135","2004621","Make B. Pó Facial Multifuncional Diamond","R$ 79,905x R$ 15,98"
"136","2004620","Make B. Sombra Foil Multiefeito Diamond                    Radiance 4g","R$ 55,905x R$ 11,18"
"137","2004505","Intense Lápis para Sobrancelhas                    Castanho Claro, 1,1g","R$ 29,905x R$ 5,98"
"138","2004394","Intense Gloss Efeito Super Glitter 5,6ml","R$ 27,905x R$ 5,58"
"139","2004393","Intense Gloss Labial Efeito Holográfico                    5,6ml","R$ 27,905x R$ 5,58"
